שם הארגון,סוג הארגון,תחום השירות העיקרי,Value
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,NA
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,ג'וינט אשל
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,NA
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,ג'וינט אשל
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,הרשויות המקומיות (כללי)
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),מניעת נפילות,Caregivers Israel
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),מניעת נפילות,גימלאים
קופת חולים כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),מניעת נפילות,חוקרים בתחום הזקנה (כללי)
קופת חולים מאוחדת,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
קופת חולים מאוחדת,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
קופת חולים מאוחדת,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,NA
קופת חולים מאוחדת,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,"ארגון ""יד שרה"""
קופת חולים מאוחדת,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,עמותת עמדא
קורדיו מדיקל,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
קיבוץ נען,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,NA
קיבוץ נען,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,ג'וינט אשל
קיבוץ נען,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,המשרד לשוויון חברתי
"קסורקום בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,NA
"קסורקום בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,המוסד לביטוח לאומי
"קסורקום בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,משרד העבודה והרווחה
"קסורקום בע""מ",חברה שאינה סטארט אפ העוסקת בפתוח טכנולוגיות תומכות זיקנה,אחר:,NA
"קסורקום בע""מ",חברה שאינה סטארט אפ העוסקת בפתוח טכנולוגיות תומכות זיקנה,אחר:,המוסד לביטוח לאומי
"קסורקום בע""מ",חברה שאינה סטארט אפ העוסקת בפתוח טכנולוגיות תומכות זיקנה,אחר:,משרד העבודה והרווחה
קרן מתת,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
קרן מתת,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
קרן-שמש מקבוצת עוגן,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אפ 60+ נגב מערבי - JoinMe
קרן-שמש מקבוצת עוגן,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ציונות 2000
קרן-שמש מקבוצת עוגן,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,קרן-שמש מקבוצת עוגן
קרן-שמש מקבוצת עוגן,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,אפ 60+ נגב מערבי - JoinMe
קרן-שמש מקבוצת עוגן,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,ציונות 2000
קרן-שמש מקבוצת עוגן,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,קרן-שמש מקבוצת עוגן
קרן-שמש מקבוצת עוגן,מתעניין/ת בתחום,הפגת בדידות,"החברה למתנ""סים"
קרן-שמש מקבוצת עוגן,מתעניין/ת בתחום,הפגת בדידות,המשרד לשוויון חברתי
קרן-שמש מקבוצת עוגן,מתעניין/ת בתחום,הפגת בדידות,עמותות (כללי)
קשת,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
קשת,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,עיריית תל אביב
ר.ק.מ.א - רשת קהילות מבוגרים אוטונומיות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
ר.ק.מ.א - רשת קהילות מבוגרים אוטונומיות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,ג'וינט אשל
ר.ק.מ.א - רשת קהילות מבוגרים אוטונומיות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
ר.ק.מ.א - רשת קהילות מבוגרים אוטונומיות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
רום אדריכלות,Environmental gerontology researcher,אחר:,NA
רום אדריכלות,Environmental gerontology researcher,אחר:,ג'וינט אשל
רום אדריכלות,Environmental gerontology researcher,אחר:,דור לדור - עפולה
רום אדריכלות,גרונטולוג,אחר:,NA
רום אדריכלות,גרונטולוג,אחר:,ג'וינט אשל
רום אדריכלות,גרונטולוג,אחר:,דור לדור - עפולה
רונית דורות - תפקוד קשוב,אחר:,ירידה קוגנטיבית ודמנציה,NA
רונית דורות - תפקוד קשוב,מרפא  בעיסוק בתחום ההזדקנות,ירידה קוגנטיבית ודמנציה,NA
רחלי מרום,מתעניין/ת בתחום,תעסוקה,NA
רחלי מרום,מתעניין/ת בתחום,תעסוקה,ג'וינט אשל
רמי סטויצקי,אחר:,הפגת בדידות,NA
רמי סטויצקי,אחר:,הפגת בדידות,ג'וינט אשל
רמי סטויצקי,עסק פרטי,הפגת בדידות,NA
רמי סטויצקי,עסק פרטי,הפגת בדידות,ג'וינט אשל
רעות בקהילה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,Uniper
רעות בקהילה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,עמותת עמדא
רעות בקהילה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,קהילה תומכת לאזרחים ותיקים (תוכנית)
רשות מטה אשר,רשות מקומית/מועצה איזורית,תעסוקה,NA
שומרי  הראש,אחר:,אחר:,NA
שומרי  הראש,אחר:,אחר:,עמותת מטב
שומרי  הראש,עסק פרטי,אחר:,NA
שומרי  הראש,עסק פרטי,אחר:,עמותת מטב
שומרת אחותי אנוכי,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
שומרת אחותי אנוכי,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,הקרן לידידות
שותפים למסע,יזמות חברתית פועלת תחת עמותה: ״שותפים למסע״,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
שותפים למסע,יזמות חברתית פועלת תחת עמותה: ״שותפים למסע״,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
שותפים למסע,יזמות חברתית פועלת תחת עמותה: ״שותפים למסע״,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
שותפים למסע,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
שותפים למסע,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
שותפים למסע,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
שרון מור - עצמאית וחוקרת בתחום הסולנות,גרונטולוג,הפגת בדידות,ג'וינט אשל
שרון מור - עצמאית וחוקרת בתחום הסולנות,גרונטולוג,הפגת בדידות,המשרד לשוויון חברתי
שרון מור - עצמאית וחוקרת בתחום הסולנות,גרונטולוג,הפגת בדידות,משרד הבריאות
שרית ארז,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,אופיר בן נתן (ג'וינט אשל)
שרית ארז,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,"ד""ר תמי גיטליץ"
שרית ארז,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,ירון מנשה (המשרד לשוויון חברתי)
שש מעלות - חברת סטרטאפ,סטארט אפ,שיקום,NA
שש מעלות - חברת סטרטאפ,סטארט אפ,שיקום,"ד""ר יעל בנבנישתי"
תבונה ונגישות טכנולוגיות,חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,NA
תלם תעסוקה למבוגרים,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,NA
תלם תעסוקה למבוגרים,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,ג'וינט אשל
תלם תעסוקה למבוגרים,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,האגודה הישראלית לגרונטולוגיה
תמי ליבנה,אחר:,בריאות הנפש,NA
תמי ליבנה,עסק פרטי,בריאות הנפש,NA
תמר טופח,אחר:,אחר:,NA
תמר טופח,אחר:,אחר:,המשרד לשוויון חברתי
תמר טופח,עסק פרטי,אחר:,NA
תמר טופח,עסק פרטי,אחר:,המשרד לשוויון חברתי
תמר להב,אחר:,אחר:,NA
תמר להב,אחר:,אחר:,"מירב כהן, השרה לשוויון חברתי"
תמר להב,עסק פרטי,אחר:,NA
תמר להב,עסק פרטי,אחר:,"מירב כהן, השרה לשוויון חברתי"
תנועת חכמת ההזדקנות,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
תנועת חכמת ההזדקנות,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
תנועת חכמת ההזדקנות,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרד העבודה והרווחה
תנועת תרבות,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
תנועת תרבות,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,הרשויות המקומיות (כללי)
תקווה לפרקינסון,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
תקווה לפרקינסון,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,"ארגון ""יד שרה"""
תקווה לפרקינסון,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,"עמותת מלב""ב"
